FitNr,key,MP/mpi2,lmax/shells,kmax/momlu,2b-model,l1r,l2r,l3r,l4r,csc/mpi^{-2},csp208,ms208/mpi,crc208/mpi^{-2},crp208,mr208/mpi,csc305/mpi^{-2},csp305,ms305/mpi,crc305/mpi^{-2},crp305,mr305/mpi,chi2dof,Ndata,Npars,ReP208/mpi,ImP208/mpi,ReP305/mpi,ImP305/mpi
97,no34mIAM-general_pc_x_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM2,-0.00475548,0.0039378,/,/,/,/,/,-12.5497,10.7801,152.868,/,/,/,/,/,,1.21490259941878,27,5
98,no34mIAM-general_pc_x_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM2,-0.00475544,0.0039379,/,/,/,/,/,-12.5065,30.4668,364.766,/,/,/,/,/,,1.2150441080949796,27,5
99,no34mIAM-general_pc_x_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM2,-0.00475548,0.0039378,/,/,/,/,/,-12.5497,10.7801,152.868,/,/,/,/,/,,1.21490259941878,27,5
100,mIAM-general_x_c_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM4,-0.00462756,0.00418783,0.00690341,0.00430483,-2.9235,/,/,/,/,/,/,/,/,/,/,/,1.0313838818691106,27,5
101,mIAM-general_x_c_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM4,-0.00462757,0.00418782,0.00690337,0.00430463,-2.92337,/,/,/,/,/,/,/,/,/,/,/,1.0313797377116078,27,5
102,mIAM-general_x_c_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM4,-0.00462756,0.00418783,0.00690341,0.00430483,-2.9235,/,/,/,/,/,/,/,/,/,/,/,1.0313838818691106,27,5
103,no4mIAM-general_x_c_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM3,-0.00463271,0.00418633,0.00688765,/,-2.94411,/,/,/,/,/,/,/,/,/,/,/,0.9867813185474702,27,4
104,no4mIAM-general_x_c_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM3,-0.00463271,0.00418633,0.00688758,/,-2.944,/,/,/,/,/,/,/,/,/,/,/,0.9867773470090743,27,4
105,no4mIAM-general_x_c_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM3,-0.00463271,0.00418633,0.00688765,/,-2.94411,/,/,/,/,/,/,/,/,/,/,/,0.9867813185474702,27,4
106,no34mIAM-general_x_c_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM2,-0.00474743,0.00395424,/,/,-2.63598,/,/,/,/,/,/,/,/,/,/,/,1.1488218032515327,27,3
107,no34mIAM-general_x_c_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM2,-0.00474744,0.00395424,/,/,-2.63582,/,/,/,/,/,/,/,/,/,/,/,1.1488153819724003,27,3
